garage_name, address, price
LAZ 560 Guadalupe St Parking,560 Guadalupe St (bet. W 5th St-W 6th St),$12
PREMIUM P3010,660 Guadalupe St (bet. W 6th St-W 7th St),$13
PREMIER Lavaca Plaza Parking Garage,354 W 5th St (bet. Lavaca St-Guadalupe St),$12
PREMIUM P3008,500 W. 6th St. (bet. San Antonio St-Nueces St),$9
300 West 6th Garage,305 W 7th St,$18
Austin Wine Merchant Lot,508 W. 6th St.,$8
PREMIUM 513 W 6th St. Parking,531 Nueces St (bet. W 5th St-W 6th St),$10
 360 Valet,503 Colorado St (bet. W 5th St-W 6th St),$10
HOSPITALITY 673 Colorado St. Parking,673 Colorado St (bet. W 6th St-W 7th St),$22
ACE 560 W 7th St,755 Nueces St (bet. W 7th St-W 8th St),$5
PREMIER 631 W 7th St. Parking,631 W 7th St (bet. Nueces St-Rio Grande St),$10
Metropolitan Parking 700 Lavaca Parking Garage,700 Lavaca St (bet. W 8th St-W 9th St),$8
Truluck's Seafood Steak & Crab House - Valet,400 Colorado St.,$10
State of Texas Garage N,300 San Antonio St (bet. W 3rd St-W 4th St),$10
Ruth's Chris Steakhouse - Valet,101 W. 6th St.,$9
ABC Bank Garage,610 W. 5th St.,$10
PREMIUM 604 W 4th St Parking,604 W 4th St (bet. Nueces St-Rio Grande St),$12
PREMIUM 3rd and Guadalupe,414 W 3rd St (bet. Guadalupe St-San Antonio St),$11
PREMIUM P3003,701 Rio Grande St (bet. W 7th St-W 8th St),$11
PREMIER 518 Rio Grande St Parking,518 Rio Grande St (bet. W 5th St-W 6th St),$12
P3011 - 547 W 9th St,547 W 9th St,$3
PREMIER 816 Colorado Parking Garage,816  Colorado St (bet. W 8th St-W 9th St),$10
W Hotel Austin - Valet,200 Lavaca St.,$25
LAZ 426 N Congress Ave Parking,426 N Congress Ave (bet. W 4th St-W 5th St),$25
LANIER Parking - Amli on 2nd,421 W 3rd St (bet. Guadalupe St-San Antonio St),$18
LANIER Parking - Amli Downtown,201 Lavaca St (bet. W 2nd St-W 3rd St),$18
ABM 500 W Second St,500 W 2nd St (bet.  San Antonio St-Nueces St),$10
LANIER 816 Congress Garage,816 N Congress Ave (bet. W 8th St-W 9th St),$15
InterConinental Stephen F. Austin Hotel - Valet,124 E. 7th St.,$12
LAZ 651 West Ave Parking,651 West Ave (bet. W 6th St-W 7th St),$15
Aloft Element Hotel - Valet,109 E 7th St.,$11
Bank of America Center Garage,109 E. 6th St.,$10
HOSPITALITY 267 Colorado St Parking,267 Colorado St (bet. W 2nd St-W 3rd St),$15
PREMIUM P3024,508 West Ave (bet. W 5th St-W 6th St),$12
SP PLUS Congress Lot,302 Congress Ave (bet. W 3rd St-W 4th St),$20
ABM City Hall Garage,141 Guadalupe St (bet. W Cesar Chavez St-W 2nd St),$10
Driskill Hotel - Valet,636 Brazos St.,$24
150 San Antonio St. Garage,150 San Antonio St.,$15
Littlefield Garage,508 Brazos St.,$12
PREMIER Frost Bank Tower,172 E 4th St (bet. Brazos St-N Congress Ave),$10
LAZ Parking - Perry Brooks Garage,716 Brazos St (bet. E 7th St-E 8th St),$8
200 W. Cesar Chavez St. Garage,154 Colorado St.,$15
LAZ 110 San Antonio St,110 San Antonio St,$12
ABM 301 N Congress Ave,301 N Congress Ave (bet. E 3rd St-E 4th St),$28
Austin Centre Garage,701 Brazos St.,$10
 823 Congress Parking,823 N Congress Ave (bet. E 9th St-E 10th St),$15
SP PLUS 540 West 11th St,540 West 11th St (bet. San Antonio St-Nueces St),$20
101 Colorado Garage,140 W. Cesar Chavez St.,$10
JW Marriott Hotel Garage,248 Brazos St.,$12
HOSPITALITY SWT Lot,317 E 7th St (bet. Trinity St-San Jacinto Blvd),$10
